sku,visibility,price,special_price,errors
KAN-AP-20S13-2,"Not Visible Individually",7500,3750,
KAN-AP-20S13-3,"Not Visible Individually",7500,3750,
KAN-AP-20S15-1,"Not Visible Individually",7200,4320,
KAN-AP-20S15-2,"Not Visible Individually",7200,4320,
KAN-AP-20S15-3,"Not Visible Individually",7200,4320,
KAN-AP-20S17-1,"Not Visible Individually",6200,3100,
KAN-AP-20S17-2,"Not Visible Individually",6200,3100,
KAN-AP-20S17-3,"Not Visible Individually",6200,3100,
KAN-AP-20S18-1,"Not Visible Individually",7000,3500,
KAN-AP-20S18-2,"Not Visible Individually",7000,3500,
KAN-AP-20S18-3,"Not Visible Individually",7000,3500,
KAN-AP-20S19-1,"Not Visible Individually",7000,4200,
KAN-AP-20S19-2,"Not Visible Individually",7000,4200,
KAN-AP-20S19-3,"Not Visible Individually",7000,4200,
KAN-AP-20S20-1,"Not Visible Individually",7200,4320,
KAN-AP-20S20-2,"Not Visible Individually",7200,4320,
KAN-AP-20S20-3,"Not Visible Individually",7200,4320,
KAN-AP-20S25-1,"Not Visible Individually",6200,3100,
KAN-AP-20S25-2,"Not Visible Individually",6200,3100,
KAN-AP-20S25-3,"Not Visible Individually",6200,3100,
KAN-AP-20S27-1,"Not Visible Individually",5700,3420,
KAN-AP-20S27-2,"Not Visible Individually",5700,3420,
KAN-AP-20S27-3,"Not Visible Individually",5700,3420,
KAN-AP-20S28-1,"Not Visible Individually",8800,4400,
KAN-AP-20S28-2,"Not Visible Individually",8800,4400,
KAN-AP-20S28-3,"Not Visible Individually",8800,4400,
KAN-AP-20S29-1,"Not Visible Individually",5700,3420,
KAN-AP-20S29-2,"Not Visible Individually",5700,3420,
KAN-AP-20S29-3,"Not Visible Individually",5700,3420,
KAN-AP-20S32-1,"Not Visible Individually",17700,8850,
KAN-AP-20S32-2,"Not Visible Individually",17700,8850,
KAN-AP-20S33-1,"Not Visible Individually",13500,6750,
KAN-AP-20S33-2,"Not Visible Individually",13500,6750,
KAN-AP-20S36-1,"Not Visible Individually",8700,4350,
KAN-AP-20S36-2,"Not Visible Individually",8700,4350,
KAN-AP-20S37-1,"Not Visible Individually",5800,2900,
KAN-AP-20S37-2,"Not Visible Individually",5800,2900,
KAN-AP-20S37-3,"Not Visible Individually",5800,2900,
KAN-AP-20S38-1,"Not Visible Individually",12500,,
KAN-AP-20S38-2,"Not Visible Individually",12500,,
KAN-AP-20S38-3,"Not Visible Individually",12500,,
KAN-AP-20S39-1,"Not Visible Individually",15300,7650,
KAN-AP-20S39-2,"Not Visible Individually",15300,7650,
KAN-AP-20S39-3,"Not Visible Individually",15300,7650,
KAN-AP-20S40-1,"Not Visible Individually",4500,2700,
