sku,base_image,small_image,thumbnail_image
KAN-AP-20PF01,KAN-AP-20PF01.jpg,KAN-AP-20PF01.jpg,KAN-AP-20PF01.jpg
KAN-AP-20PF01-2,KAN-AP-20PF01.jpg,KAN-AP-20PF01.jpg,KAN-AP-20PF01.jpg
KAN-AP-20PF01-3,KAN-AP-20PF01.jpg,KAN-AP-20PF01.jpg,KAN-AP-20PF01.jpg
KAN-AP-20PF02,KAN-AP-20PF02.jpg,KAN-AP-20PF02.jpg,KAN-AP-20PF02.jpg
KAN-AP-20PF02-2,KAN-AP-20PF02.jpg,KAN-AP-20PF02.jpg,KAN-AP-20PF02.jpg
KAN-AP-20PF02-3,KAN-AP-20PF02.jpg,KAN-AP-20PF02.jpg,KAN-AP-20PF02.jpg
KAN-AP-20PF03,KAN-AP-20PF03.jpg,KAN-AP-20PF03.jpg,KAN-AP-20PF03.jpg
KAN-AP-20PF03-2,KAN-AP-20PF03.jpg,KAN-AP-20PF03.jpg,KAN-AP-20PF03.jpg
KAN-AP-20PF03-3,KAN-AP-20PF03.jpg,KAN-AP-20PF03.jpg,KAN-AP-20PF03.jpg
KAN-AP-20PF04,KAN-AP-20PF04.jpg,KAN-AP-20PF04.jpg,KAN-AP-20PF04.jpg
KAN-AP-20PF04-2,KAN-AP-20PF04.jpg,KAN-AP-20PF04.jpg,KAN-AP-20PF04.jpg
KAN-AP-20PF05,KAN-AP-20PF05.jpg,KAN-AP-20PF05.jpg,KAN-AP-20PF05.jpg
KAN-AP-20PF05-2,KAN-AP-20PF05.jpg,KAN-AP-20PF05.jpg,KAN-AP-20PF05.jpg
KAN-AP-20PF06,KAN-AP-20PF06.jpg,KAN-AP-20PF06.jpg,KAN-AP-20PF06.jpg
KAN-AP-20PF06-2,KAN-AP-20PF06.jpg,KAN-AP-20PF06.jpg,KAN-AP-20PF06.jpg
KAN-AP-20PF07,KAN-AP-20PF07.jpg,KAN-AP-20PF07.jpg,KAN-AP-20PF07.jpg
