sku,visibility,errors
KAN-AP-20S32-1,"Not Visible Individually",
KAN-AP-20S32-2,"Not Visible Individually",
KAN-AP-20S33-1,"Not Visible Individually",
KAN-AP-20S33-2,"Not Visible Individually",
KAN-AP-20S36-1,"Not Visible Individually",
KAN-AP-20S36-2,"Not Visible Individually",
KAN-AP-20S37-1,"Not Visible Individually",
KAN-AP-20S37-2,"Not Visible Individually",
KAN-AP-20S37-3,"Not Visible Individually",
KAN-AP-20S38-1,"Not Visible Individually",
KAN-AP-20S38-2,"Not Visible Individually",
KAN-AP-20S38-3,"Not Visible Individually",
KAN-AP-20S39-1,"Not Visible Individually",
KAN-AP-20S39-2,"Not Visible Individually",
KAN-AP-20S39-3,"Not Visible Individually",
KAN-AP-20S40-1,"Not Visible Individually",
KAN-AP-20S40-2,"Not Visible Individually",
KAN-AP-20S40-3,"Not Visible Individually",
KAN-AP-20S41-1,"Not Visible Individually",
KAN-AP-20S41-2,"Not Visible Individually",
KAN-AP-20S41-3,"Not Visible Individually",
KAN-AP-20S42-1,"Not Visible Individually",
KAN-AP-20S42-2,"Not Visible Individually",
KAN-AP-20S42-3,"Not Visible Individually",
KAN-AP-20S43-1,"Not Visible Individually",
KAN-AP-20S43-2,"Not Visible Individually",
KAN-AP-20S43-3,"Not Visible Individually",
KAN-AP-20S44-1,"Not Visible Individually",
KAN-AP-20S44-2,"Not Visible Individually",
KAN-AP-20S44-3,"Not Visible Individually",
KAN-AP-20S47-1,"Not Visible Individually",
KAN-AP-20S47-2,"Not Visible Individually",
KAN-AP-20S47-3,"Not Visible Individually",
KAN-AP-20S49-1,"Not Visible Individually",
KAN-AP-20S49-2,"Not Visible Individually",
KAN-AP-20S49-3,"Not Visible Individually",
KAN-AP-20S51-1,"Not Visible Individually",
KAN-AP-20S51-2,"Not Visible Individually",
KAN-AP-20S51-3,"Not Visible Individually",
KAN-AP-20RC01-1,"Not Visible Individually",
KAN-AP-20RC01-2,"Not Visible Individually",
KAN-AP-20RC04-1,"Not Visible Individually",
KAN-AP-20RC04-2,"Not Visible Individually",
KAN-AP-20RC05-1,"Not Visible Individually",
KAN-AP-20RC05-2,"Not Visible Individually",
KAN-AP-20RC31-1,"Not Visible Individually",
KAN-AP-20RC31-2,"Not Visible Individually",
KAN-AP-20PF02-1,"Not Visible Individually",
KAN-AP-20PF02-2,"Not Visible Individually",
KAN-AP-20PF02-3,"Not Visible Individually",
KAN-AP-20PF03-1,"Not Visible Individually",
KAN-AP-20PF03-2,"Not Visible Individually",
KAN-AP-20PF03-3,"Not Visible Individually",
KAN-AP-20PF04-1,"Not Visible Individually",
KAN-AP-20PF04-2,"Not Visible Individually",
KAN-AP-20PF05-1,"Not Visible Individually",
KAN-AP-20PF05-2,"Not Visible Individually",
KAN-AP-20PF06-1,"Not Visible Individually",
KAN-AP-20PF06-2,"Not Visible Individually",
KAN-AP-20PF07-1,"Not Visible Individually",
KAN-AP-20PF07-2,"Not Visible Individually",
KAN-AP-20PF07-3,"Not Visible Individually",
KAN-AP-20PF08-1,"Not Visible Individually",
KAN-AP-20PF08-2,"Not Visible Individually",
KAN-AP-20PF08-3,"Not Visible Individually",
KAN-AP-20PF09-1,"Not Visible Individually",
KAN-AP-20PF09-2,"Not Visible Individually",
KAN-AP-20PF09-3,"Not Visible Individually",
KAN-AP-20PF10-1,"Not Visible Individually",
KAN-AP-20PF10-2,"Not Visible Individually",
KAN-AP-20PF11-1,"Not Visible Individually",
KAN-AP-20PF11-2,"Not Visible Individually",
KAN-AP-20PF11-3,"Not Visible Individually",
KAN-AP-20PF12-1,"Not Visible Individually",
KAN-AP-20PF12-2,"Not Visible Individually",
KAN-AP-20PF12-3,"Not Visible Individually",
KAN-AP-20PF13-1,"Not Visible Individually",
KAN-AP-20PF13-2,"Not Visible Individually",
KAN-AP-20PF13-3,"Not Visible Individually",
KAN-AP-20PF14-1,"Not Visible Individually",
KAN-AP-20PF14-2,"Not Visible Individually",
KAN-AP-20PF14-3,"Not Visible Individually",
KAN-AP-20PF15-1,"Not Visible Individually",
KAN-AP-20PF15-2,"Not Visible Individually",
KAN-AP-20PF15-3,"Not Visible Individually",
KAN-AP-20PF16-1,"Not Visible Individually",
KAN-AP-20PF16-2,"Not Visible Individually",
KAN-AP-20PF16-3,"Not Visible Individually",
KAN-AP-20PF17-1,"Not Visible Individually",
KAN-AP-20PF17-2,"Not Visible Individually",
KAN-AP-20PF17-3,"Not Visible Individually",
KAN-AP-20PF18-1,"Not Visible Individually",
KAN-AP-20PF18-2,"Not Visible Individually",
KAN-AP-20PF18-3,"Not Visible Individually",
KAN-AP-20PF19-1,"Not Visible Individually",
KAN-AP-20PF19-2,"Not Visible Individually",
KAN-AP-20PF20-1,"Not Visible Individually",
KAN-AP-20PF20-2,"Not Visible Individually",
KAN-AP-20PF20-3,"Not Visible Individually",
KAN-AP-20PF21-1,"Not Visible Individually",
KAN-AP-20PF21-2,"Not Visible Individually",
KAN-AP-20PF21-3,"Not Visible Individually",
