sku,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,display_product_options_in,map_price,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,is_in_stock,website_id,color,size
KAN-AP-17WF04_2,Default,simple,Default Category/Sale/Dresses,base,RAGLAN SLEEVE DRESS WITH SIDE GATHERS_M,"Front open raglan sleeve midi dress with hand embroidery and side gathers
 -Handwoven cotton by silk + chanderi & viscose
-Quarter Sleeves
-Relaxed Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress length is 45""/114 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",FRONT OPEN MIDI DRESS WITH HAND EMBROIDERY AND SIDE GATHERS.,1,1,Taxable Goods,Not Visible Individually,10800,4320,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",4,1,0,1,Ivory,M
KAN-AP-17WF04_1,Default,simple,Default Category/Sale/Dresses,base,RAGLAN SLEEVE DRESS WITH SIDE GATHERS_L,"Front open raglan sleeve midi dress with hand embroidery and side gathers
 -Handwoven cotton by silk + chanderi & viscose
-Quarter Sleeves
-Relaxed Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress length is 45""/114 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",FRONT OPEN MIDI DRESS WITH HAND EMBROIDERY AND SIDE GATHERS.,1,1,Taxable Goods,Not Visible Individually,10800,4320,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Ivory,L
KAN-AP-17WF05_3,Default,simple,Default Category/Sale/Dresses,base,BELL SLEEVE LONG KURTA_S,"Long kurta with bell sleeve and monochrome hand embroidery and zipper at back.
 -Handwoven cotton by silk + chanderi 
-Full Sleeves
-Regular Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress length is 43""/109 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",LONG KURTA WITH BELL SLEEVE AND MONOCHROME HAND EMBROIDERY.,1,1,Taxable Goods,Not Visible Individually,9000,3600,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",1,1,0,1,Ivory,S
KAN-AP-17WF05_2,Default,simple,Default Category/Sale/Dresses,base,BELL SLEEVE LONG KURTA_M,"Long kurta with bell sleeve and monochrome hand embroidery and zipper at back.
 -Handwoven cotton by silk + chanderi 
-Full Sleeves
-Regular Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress length is 43""/109 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",LONG KURTA WITH BELL SLEEVE AND MONOCHROME HAND EMBROIDERY.,1,1,Taxable Goods,Not Visible Individually,9000,3600,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",2,1,0,1,Ivory,M
KAN-AP-17WF05_1,Default,simple,Default Category/Sale/Dresses,base,BELL SLEEVE LONG KURTA_L,"Long kurta with bell sleeve and monochrome hand embroidery and zipper at back.
 -Handwoven cotton by silk + chanderi 
-Full Sleeves
-Regular Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress length is 43""/109 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",LONG KURTA WITH BELL SLEEVE AND MONOCHROME HAND EMBROIDERY.,1,1,Taxable Goods,Not Visible Individually,9000,3600,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Ivory,L
KAN-AP-17WF06_3,Default,simple,Default Category/Sale/Bottoms,base,WIDE LEG PANTS WITH BLACK KANTHA_S,"Wide leg pants with black kantha embroidery on side and side zipper with elastic at back.
 -Handwoven cotton with silk self
-Straight Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Soft Hand Wash Only.
Model is 5'8"" and is wearing a Small size. Pant length is 40""/102 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",WIDE LEG PANTS WITH BLACK KANTHA EMBROIDERY ON SIDE.,1,1,Taxable Goods,Not Visible Individually,4200,1680,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Ivory,S
KAN-AP-17WF06_2,Default,simple,Default Category/Sale/Bottoms,base,WIDE LEG PANTS WITH BLACK KANTHA_M,"Wide leg pants with black kantha embroidery on side and side zipper with elastic at back.
 -Handwoven cotton with silk self
-Straight Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Soft Hand Wash Only.
Model is 5'8"" and is wearing a Small size. Pant length is 40""/102 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",WIDE LEG PANTS WITH BLACK KANTHA EMBROIDERY ON SIDE.,1,1,Taxable Goods,Not Visible Individually,4200,1680,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",4,1,0,1,Ivory,M
KAN-AP-17WF06_1,Default,simple,Default Category/Sale/Bottoms,base,WIDE LEG PANTS WITH BLACK KANTHA_L,"Wide leg pants with black kantha embroidery on side and side zipper with elastic at back.
 -Handwoven cotton with silk self
-Straight Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Soft Hand Wash Only.
Model is 5'8"" and is wearing a Small size. Pant length is 40""/102 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",WIDE LEG PANTS WITH BLACK KANTHA EMBROIDERY ON SIDE.,1,1,Taxable Goods,Not Visible Individually,4200,1680,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Ivory,L
KAN-AP-17WF09_3,Default,simple,Default Category/Sale/Tops-Tunics,base,KANTHA YOKE NECK TOP_S,"Bottom frill top with hand embroidery and kantha on yoke
 -Handwoven cotton with silk self + chanderi 
-Quarter Sleeves
-Regular Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Top length is 26""/66 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",BOTTOM FRILL TOP WITH HAND EMBROIDERY AND KANTHA ON YOKE.,1,1,Taxable Goods,Not Visible Individually,5900,2360,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Ivory,S
KAN-AP-17WF09_2,Default,simple,Default Category/Sale/Tops-Tunics,base,KANTHA YOKE NECK TOP_M,"Bottom frill top with hand embroidery and kantha on yoke
 -Handwoven cotton with silk self + chanderi 
-Quarter Sleeves
-Regular Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Top length is 26""/66 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",BOTTOM FRILL TOP WITH HAND EMBROIDERY AND KANTHA ON YOKE.,1,1,Taxable Goods,Not Visible Individually,5900,2360,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",2,1,0,1,Ivory,M
KAN-AP-17WF09_1,Default,simple,Default Category/Sale/Tops-Tunics,base,KANTHA YOKE NECK TOP_L,"Bottom frill top with hand embroidery and kantha on yoke
 -Handwoven cotton with silk self + chanderi 
-Quarter Sleeves
-Regular Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Top length is 26""/66 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",BOTTOM FRILL TOP WITH HAND EMBROIDERY AND KANTHA ON YOKE.,1,1,Taxable Goods,Not Visible Individually,5900,2360,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Ivory,L
KAN-AP-17WF10_3,Default,simple,Default Category/Sale/Dresses,base,SHIRT DRESS WITH KANTHA DETAIL_S,"Front open shirt dress with hand embroidery on patch pocket & kantha embroidery on sides.
 -Handwoven chanderi 
-Full Sleeves
-Regular Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress length is 40""/102 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",FRONT OPEN SHIRT DRESS WITH HAND EMBROIDERY ON PATCH POCKET & KANTHA EMBROIDERY ON SIDES.,1,1,Taxable Goods,Not Visible Individually,7500,3000,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Ivory,S
KAN-AP-17WF10_2,Default,simple,Default Category/Sale/Dresses,base,SHIRT DRESS WITH KANTHA DETAIL_M,"Front open shirt dress with hand embroidery on patch pocket & kantha embroidery on sides.
 -Handwoven chanderi 
-Full Sleeves
-Regular Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress length is 40""/102 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",FRONT OPEN SHIRT DRESS WITH HAND EMBROIDERY ON PATCH POCKET & KANTHA EMBROIDERY ON SIDES.,1,1,Taxable Goods,Not Visible Individually,7500,3000,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",2,1,0,1,Ivory,M
KAN-AP-17WF10_1,Default,simple,Default Category/Sale/Dresses,base,SHIRT DRESS WITH KANTHA DETAIL_L,"Front open shirt dress with hand embroidery on patch pocket & kantha embroidery on sides.
 -Handwoven chanderi 
-Full Sleeves
-Regular Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress length is 40""/102 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",FRONT OPEN SHIRT DRESS WITH HAND EMBROIDERY ON PATCH POCKET & KANTHA EMBROIDERY ON SIDES.,1,1,Taxable Goods,Not Visible Individually,7500,3000,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Ivory,L
KAN-AP-17WF11_3,Default,simple,Default Category/Sale/Dresses,base,GOLD PRINT LONG KURTA_S,"A-line kurta with hand embroidery and gold foil print and loop button at back.
 -Handwoven cotton by silk
-Sleeveless
-Regular Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress/kurta length is 45""/114 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",A LINE KURTA WITH HAND EMBROIDERY AND FOIL PRINT IN GOLD.,1,1,Taxable Goods,Not Visible Individually,10000,4000,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Tangerine Orange,S
KAN-AP-17WF11_2,Default,simple,Default Category/Sale/Dresses,base,GOLD PRINT LONG KURTA_M,"A-line kurta with hand embroidery and gold foil print and loop button at back.
 -Handwoven cotton by silk
-Sleeveless
-Regular Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress/kurta length is 45""/114 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",A LINE KURTA WITH HAND EMBROIDERY AND FOIL PRINT IN GOLD.,1,1,Taxable Goods,Not Visible Individually,10000,4000,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",3,1,0,1,Tangerine Orange,M
KAN-AP-17WF11_1,Default,simple,Default Category/Sale/Dresses,base,GOLD PRINT LONG KURTA_L,"A-line kurta with hand embroidery and gold foil print and loop button at back.
 -Handwoven cotton by silk
-Sleeveless
-Regular Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress/kurta length is 45""/114 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",A LINE KURTA WITH HAND EMBROIDERY AND FOIL PRINT IN GOLD.,1,1,Taxable Goods,Not Visible Individually,10000,4000,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Tangerine Orange,L
KAN-AP-17WF12_3,Default,simple,Default Category/Sale/Bottoms,base,WIDE LEG PANTS WITH FRONT DETAIL_S,"Wide leg pants with texture detail in front and side zipper.
 -Handwoven cottonby silk
-Straight Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Pant length is 40""/102 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",WIDE LEG PANTS WITH TEXTURE DETAIL IN FRONT.,1,1,Taxable Goods,Not Visible Individually,4700,1880,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",1,1,0,1,Tangerine Orange,S
KAN-AP-17WF12_2,Default,simple,Default Category/Sale/Bottoms,base,WIDE LEG PANTS WITH FRONT DETAIL_M,"Wide leg pants with texture detail in front and side zipper.
 -Handwoven cottonby silk
-Straight Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Pant length is 40""/102 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",WIDE LEG PANTS WITH TEXTURE DETAIL IN FRONT.,1,1,Taxable Goods,Not Visible Individually,4700,1880,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",5,1,0,1,Tangerine Orange,M
KAN-AP-17WF12_1,Default,simple,Default Category/Sale/Bottoms,base,WIDE LEG PANTS WITH FRONT DETAIL_L,"Wide leg pants with texture detail in front and side zipper.
 -Handwoven cottonby silk
-Straight Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Pant length is 40""/102 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",WIDE LEG PANTS WITH TEXTURE DETAIL IN FRONT.,1,1,Taxable Goods,Not Visible Individually,4700,1880,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Tangerine Orange,L
KAN-AP-17WF14_3,Default,simple,Default Category/Sale/Tops-Tunics,base,KIMINO TOP WITH EMBROIDERY_S,"Kimono sleeve top with zari hand embroidery on slit.
 -Handwoven cotton by silk 
-Half Sleeves
-Oversize Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Top length is 30""/76 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",KIMONO SLEEVE TOP WITH ZARI HAND EMBROIDERY ON SLIT.,1,1,Taxable Goods,Not Visible Individually,6500,2600,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Ivory,S
KAN-AP-17WF14_2,Default,simple,Default Category/Sale/Tops-Tunics,base,KIMINO TOP WITH EMBROIDERY_M,"Kimono sleeve top with zari hand embroidery on slit.
 -Handwoven cotton by silk 
-Half Sleeves
-Oversize Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Top length is 30""/76 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",KIMONO SLEEVE TOP WITH ZARI HAND EMBROIDERY ON SLIT.,1,1,Taxable Goods,Not Visible Individually,6500,2600,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",2,1,0,1,Ivory,M
KAN-AP-17WF14_1,Default,simple,Default Category/Sale/Tops-Tunics,base,KIMINO TOP WITH EMBROIDERY_L,"Kimono sleeve top with zari hand embroidery on slit.
 -Handwoven cotton by silk 
-Half Sleeves
-Oversize Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Top length is 30""/76 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",KIMONO SLEEVE TOP WITH ZARI HAND EMBROIDERY ON SLIT.,1,1,Taxable Goods,Not Visible Individually,6500,2600,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",3,1,0,1,Ivory,L
KAN-AP-17WF15_3,Default,simple,Default Category/Sale/Dresses,base,KURTA DRESS WITH TAPE DETAIL_S,"A-line dress with tape detail and buttons in front.
 -Handwoven eri silk
-Half Sleeves
-Regular Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress length is 41""/104 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",A LINE DRESS WITH TAPE DETAIL.,1,1,Taxable Goods,Not Visible Individually,10000,4000,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Monochrome Black,S
