sku,is_in_stock,categories,errors
KAN-AP-21S02,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S04,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S05,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S07,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S09,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S10,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S11,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S12,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S14,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S15,1,"Default Category/Shop/Co-Ords|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S16,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S19,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S20,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S21,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S23,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S24,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S25,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S26,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S29,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S30,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S31,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S34,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S35,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S37,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S39,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S42,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S43,1,"Default Category/Shop/Tops-Tunics|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S47,1,"Default Category/Shop/Outerwear|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S49,1,"Default Category/Shop/Co-Ords|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S51,1,"Default Category/Shop/Bottoms|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals","Product Type is invalid or not supported"
KAN-AP-21S55,1,"Default Category/Shop/Co-Ords|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S56,1,"Default Category/Shop/Dresses|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S57,1,"Default Category/Shop/Bottoms|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S59,1,"Default Category/Shop/Bottoms|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
KAN-AP-21S60,1,"Default Category/Shop/Bottoms|Default Category/Shop/All Clothing|Default Category/Shop/New Arrivals",
