sku,base_image,small_image,thumbnail_image,additional_images
KAN-AP-17WF01,17WF01dKANELLE_WOMENSDRESS.jpg,17WF01dKANELLE_WOMENSDRESS.jpg,17WF01dKANELLE_WOMENSDRESS.jpg,"17WF01aKANELLE_WOMENSDRESS.jpg,17WF01bKANELLE_WOMENSDRESS.jpg,17WF01CKANELLE_WOMENSDRESS.jpg,17WF01dKANELLE_WOMENSDRESS.jpg"
KAN-AP-17WF02,17WF02dKANELLE_WOMENSDRESS.jpg,17WF02dKANELLE_WOMENSDRESS.jpg,17WF02dKANELLE_WOMENSDRESS.jpg,"17WF02aKANELLE_WOMENSDRESS.jpg,17WF02bKANELLE_WOMENSDRESS.jpg,17WF02cKANELLE_WOMENSDRESS.jpg,17WF02dKANELLE_WOMENSDRESS.jpg"
KAN-AP-17WF03,17WF03eKANELLE_WOMENSDRESS.jpg,17WF03eKANELLE_WOMENSDRESS.jpg,17WF03eKANELLE_WOMENSDRESS.jpg,"17WF03aKANELLE_WOMENSDRESS.jpg,17WF03bKANELLE_WOMENSDRESS.jpg,17WF03cKANELLE_WOMENSDRESS.jpg,17WF03dKANELLE_WOMENSDRESS.jpg,17WF03eKANELLE_WOMENSDRESS.jpg"
KAN-AP-17WF04,17WF04eKANELLE_WOMENSDRESS.jpg,17WF04eKANELLE_WOMENSDRESS.jpg,17WF04eKANELLE_WOMENSDRESS.jpg,"17WF04aKANELLE_WOMENSDRESS.jpg,17WF04bKANELLE_WOMENSDRESS.jpg,17WF04cKANELLE_WOMENSDRESS.jpg,17WF04dKANELLE_WOMENSDRESS.jpg,17WF04eKANELLE_WOMENSDRESS.jpg"
KAN-AP-17WF05,17WF05dKANELLE_WOMENSKURTA.jpg,17WF05dKANELLE_WOMENSKURTA.jpg,17WF05dKANELLE_WOMENSKURTA.jpg,"17WF05aKANELLE_WOMENSKURTA.jpg,17WF05bKANELLE_WOMENSKURTA.jpg,17WF05cKANELLE_WOMENSKURTA.jpg,17WF05dKANELLE_WOMENSKURTA.jpg"
KAN-AP-17WF06,17WF06eKANELLE_WOMENTROUSER.jpg,17WF06eKANELLE_WOMENTROUSER.jpg,17WF06eKANELLE_WOMENTROUSER.jpg,"17WF06aKANELLE_WOMENTROUSER.jpg,17WF06bKANELLE_WOMENTROUSER.jpg,17WF06cKANELLE_WOMENTROUSER.jpg,17WF06dKANELLE_WOMENTROUSER.jpg,17WF06eKANELLE_WOMENTROUSER.jpg"
KAN-AP-17WF09,17WF09eKANELLE_WOMENSTOP.jpg,17WF09eKANELLE_WOMENSTOP.jpg,17WF09eKANELLE_WOMENSTOP.jpg,"17WF09aKANELLE_WOMENSTOP.jpg,17WF09bKANELLE_WOMENSTOP.jpg,17WF09cKANELLE_WOMENSTOP.jpg,17WF09dKANELLE_WOMENSTOP.jpg,17WF09eKANELLE_WOMENSTOP.jpg"
KAN-AP-17WF10,17WF10eKANELLE_WOMENSDRESS.jpg,17WF10eKANELLE_WOMENSDRESS.jpg,17WF10eKANELLE_WOMENSDRESS.jpg,"17WF10aKANELLE_WOMENSDRESS.jpg,17WF10bKANELLE_WOMENSDRESS.jpg,17WF10cKANELLE_WOMENSDRESS.jpg,17WF10dKANELLE_WOMENSDRESS.jpg,17WF10eKANELLE_WOMENSDRESS.jpg"
KAN-AP-17WF11,17WF11dKANELLE_WOMENSDRESS.jpg,17WF11dKANELLE_WOMENSDRESS.jpg,17WF11dKANELLE_WOMENSDRESS.jpg,"17WF11aKANELLE_WOMENSDRESS.jpg,17WF11bKANELLE_WOMENSDRESS.jpg,17WF11cKANELLE_WOMENSDRESS.jpg,17WF11dKANELLE_WOMENSDRESS.jpg"
KAN-AP-17WF12,17WF12eKANELLE_WOMENTROUSER.jpg,17WF12eKANELLE_WOMENTROUSER.jpg,17WF12eKANELLE_WOMENTROUSER.jpg,"17WF12aKANELLE_WOMENTROUSER.jpg,17WF12bKANELLE_WOMENTROUSER.jpg,17WF12cKANELLE_WOMENTROUSER.jpg,17WF12dKANELLE_WOMENTROUSER.jpg,17WF12eKANELLE_WOMENTROUSER.jpg"
KAN-AP-17WF14,17WF14eKANELLE_WOMENSTOP.jpg,17WF14eKANELLE_WOMENSTOP.jpg,17WF14eKANELLE_WOMENSTOP.jpg,"17WF14aKANELLE_WOMENSTOP.jpg,17WF14bKANELLE_WOMENSTOP.jpg,17WF14cKANELLE_WOMENSTOP.jpg,17WF14dKANELLE_WOMENSTOP.jpg,17WF14eKANELLE_WOMENSTOP.jpg"
KAN-AP-17WF15,17WF15eKANELLE_WOMENSTOP.jpg,17WF15eKANELLE_WOMENSTOP.jpg,17WF15eKANELLE_WOMENSTOP.jpg,"17WF15aKANELLE_WOMENDRESS.jpg,17WF15bKANELLE_WOMENSTOP.jpg,17WF15cKANELLE_WOMENSTOP.jpg,17WF15dKANELLE_WOMENSTOP.jpg,17WF15eKANELLE_WOMENSTOP.jpg"
KAN-AP-17WF16,17WF16eKANELLE_WOMENTROUSER.jpg,17WF16eKANELLE_WOMENTROUSER.jpg,17WF16eKANELLE_WOMENTROUSER.jpg,"17WF16aKANELLE_WOMENTROUSER.jpg,17WF16bKANELLE_WOMENTROUSER.jpg,17WF16cKANELLE_WOMENTROUSER.jpg,17WF16dKANELLE_WOMENTROUSER.jpg,17WF16eKANELLE_WOMENTROUSER.jpg"
KAN-AP-17WF17,17WF17cKANELLE_WOMENSTOLE.jpg,17WF17cKANELLE_WOMENSTOLE.jpg,17WF17cKANELLE_WOMENSTOLE.jpg,"17WF17aKANELLE_WOMENSTOLE.jpg,17WF17bKANELLE_WOMENSTOLE.jpg,17WF17cKANELLE_WOMENSTOLE.jpg"
