ID,Thumbnail,Title,Description,Sort Order,Status,Love number,Product
100,imagegallery/template/20RC06A.jpg,20RC06A,20RC06A,0,0,0,
101,imagegallery/template/20RC06B.jpg,20RC06B,20RC06B,1,0,0,
