sku,base_image,small_image,thumbnail_image,errors
KAN-AP-20S04-3,KAN-AP-20S04.jpg,KAN-AP-20S04.jpg,KAN-AP-20S04.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
KAN-AP-20S05,KAN-AP-20S05.jpg,KAN-AP-20S05.jpg,KAN-AP-20S05.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
KAN-AP-20S05-2,KAN-AP-20S05.jpg,KAN-AP-20S05.jpg,KAN-AP-20S05.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
KAN-AP-20S05-3,KAN-AP-20S05.jpg,KAN-AP-20S05.jpg,KAN-AP-20S05.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
KAN-AP-20S07,KAN-AP-20S07.jpg,KAN-AP-20S07.jpg,KAN-AP-20S07.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
KAN-AP-20S07-2,KAN-AP-20S07.jpg,KAN-AP-20S07.jpg,KAN-AP-20S07.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
KAN-AP-20S07-3,KAN-AP-20S07.jpg,KAN-AP-20S07.jpg,KAN-AP-20S07.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
KAN-AP-20S09,KAN-AP-20S09.jpg,KAN-AP-20S09.jpg,KAN-AP-20S09.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
KAN-AP-20S09-2,KAN-AP-20S09.jpg,KAN-AP-20S09.jpg,KAN-AP-20S09.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
KAN-AP-20S09-3,KAN-AP-20S09.jpg,KAN-AP-20S09.jpg,KAN-AP-20S09.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
KAN-AP-20S10,KAN-AP-20S10.jpg,KAN-AP-20S10.jpg,KAN-AP-20S10.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
