sku,is_in_stock
KAN-AP-19FW01,0
KAN-AP-19FW02,0
KAN-AP-19FW03,0
KAN-AP-19FW04,0
KAN-AP-19FW05,0
KAN-AP-19FW06,0
KAN-AP-19FW07,0
KAN-AP-19FW08,0
KAN-AP-19FW09,0
KAN-AP-19FW10,0
KAN-AP-19FW11,0
KAN-AP-19FW12,0
KAN-AP-19FW13,0
KAN-AP-19FW14,0
KAN-AP-19FW15,0
KAN-AP-19FW16,0
KAN-AP-19FW17,0
KAN-AP-19FW18,0
KAN-AP-19FW19,0
KAN-AP-19FW20,0
KAN-AP-19FW21,0
KAN-AP-19FW22,0
KAN-AP-19FW24,0
KAN-AP-19FW25,0
KAN-AP-19FW26,0
KAN-AP-20S01,0
KAN-AP-20S02,0
KAN-AP-20S03,0
KAN-AP-20S04,0
KAN-AP-20S05,0
KAN-AP-20S07,0
KAN-AP-20S08,0
KAN-AP-20S09,0
KAN-AP-20S10,0
KAN-AP-20S12,0
KAN-AP-20S13,0
KAN-AP-20S15,0
KAN-AP-20S17,0
KAN-AP-20S18,0
KAN-AP-20S19,0
KAN-AP-20S20,0
KAN-AP-20S23,0
KAN-AP-20S25,0
KAN-AP-20S27,0
KAN-AP-20S28,0
KAN-AP-20S29,0
KAN-AP-20S32,0
KAN-AP-20S33,0
KAN-AP-20S36,0
KAN-AP-20S37,0
KAN-AP-20S38,0
KAN-AP-20S39,0
KAN-AP-20S40,0
KAN-AP-20S41,0
KAN-AP-20S42,0
KAN-AP-20S43,0
KAN-AP-20S44,0
KAN-AP-20S45,0
KAN-AP-20S46,0
KAN-AP-20S47,0
KAN-AP-20S48,0
KAN-AP-20S49,0
KAN-AP-20S50,0
KAN-AP-20S51,0
KAN-AP-20RC01,0
KAN-AP-20RC02,0
KAN-AP-20RC03,0
KAN-AP-20RC04,0
KAN-AP-20RC05,0
KAN-AP-20RC06,0
KAN-AP-20RC07,0
KAN-AP-20RC08,0
KAN-AP-20RC09,0
KAN-AP-20RC10,0
KAN-AP-20RC11,0
KAN-AP-20RC12,0
KAN-AP-20RC13,0
KAN-AP-20RC14,0
