sku,is_in_stock
KAN-AP-20PF04-2,1
KAN-AP-20PF05-1,1
KAN-AP-20PF05-2,1
KAN-AP-20PF06-1,1
KAN-AP-20PF06-2,1
KAN-AP-20PF07-1,1
KAN-AP-20PF07-2,1
KAN-AP-20PF07-3,1
KAN-AP-20PF08-1,1
KAN-AP-20PF08-2,1
KAN-AP-20PF08-3,1
KAN-AP-20PF09-1,1
KAN-AP-20PF09-2,1
KAN-AP-20PF09-3,1
KAN-AP-20PF10-1,1
KAN-AP-20PF10-2,1
KAN-AP-20PF11-1,1
KAN-AP-20PF11-2,1
KAN-AP-20PF11-3,1
KAN-AP-20PF12-1,1
KAN-AP-20PF12-2,1
KAN-AP-20PF12-3,1
KAN-AP-20PF13-1,1
KAN-AP-20PF13-2,1
KAN-AP-20PF13-3,1
KAN-AP-20PF14-1,1
KAN-AP-20PF14-2,1
KAN-AP-20PF14-3,1
KAN-AP-20PF15-1,1
KAN-AP-20PF15-2,1
KAN-AP-20PF15-3,1
KAN-AP-20PF16-1,1
KAN-AP-20PF16-2,1
KAN-AP-20PF16-3,1
KAN-AP-20PF17-1,1
KAN-AP-20PF17-2,1
KAN-AP-20PF17-3,1
KAN-AP-20PF18-1,1
KAN-AP-20PF18-2,1
KAN-AP-20PF18-3,1
KAN-AP-20PF19-1,1
KAN-AP-20PF19-2,1
KAN-AP-20PF20-1,1
KAN-AP-20PF20-2,1
KAN-AP-20PF20-3,1
KAN-AP-20PF21-1,1
KAN-AP-20PF21-2,1
KAN-AP-20PF21-3,1
KAN-AP-20PF22-1,1
KAN-AP-20PF22-2,1
KAN-AP-20PF22-3,1
KAN-AP-20PF23-1,1
KAN-AP-20PF23-2,1
KAN-AP-20PF24-1,1
KAN-AP-20PF24-2,1
KAN-AP-20PF24-3,1
KAN-AP-20PF25-1,1
KAN-AP-20PF25-2,1
KAN-AP-20PF26-1,1
KAN-AP-20PF26-2,1
KAN-AP-20PF27-1,1
KAN-AP-20PF27-2,1
KAN-AP-20PF27-3,1
KAN-AP-20PF28-1,1
KAN-AP-20PF28-2,1
KAN-AP-20PF28-3,1
KAN-AP-20PF29-1,1
KAN-AP-20PF29-2,1
KAN-AP-20PF29-3,1
